ID,Song Title,Year,Singer,Composer,Lyricist,Arranger,Producer,
C1702,長相廝守,2017,ToNick,ToNick,"梁栢堅 Pak Kin Leung, 薑檸樂 GingerLemonCola",ToNick,"Adrian Chan, ToNick",
C1703,天網,2017,周柏豪 Pakho Chau,張家誠 Alan Cheung,張美賢 Sandy Cheung,"周錫漢 Randy Chow, 黃兆銘 Nick Wong","何哲圖 Herman Ho, 周錫漢 Randy Chow",
C1704,天敵,2017,衛蘭 Janice Vidal,JUDE,黃偉文 Wyman Wong,褚鎮東 Anthony Chue,舒文 Schumann Lee,
C1705,霸氣情歌,2017,陳柏宇 Jason Chan,林奕匡 Phil Lam,黃偉文 Wyman Wong,Edward Chan,Edward Chan,
C1801,老少平安,2018,周柏豪 Pakho Chau,藍奕邦 Pong Nan,藍奕邦 Pong Nan,"周錫漢 Randy Chow, 黃兆銘 Nick Wong",周錫漢 Randy Chow,
C1802,認真如初,2018,陳柏宇 Jason Chan,Cousin Fung,陳詠謙 Abrahim Chan,Cousin Fung,"Edward Chan, Cousin Fung",
C1803,一個女人和浴室,2018,謝安琪 Kay Tse,Bert,黃偉文 Wyman Wong,陳哲廬 Jerald Chan,"麥浚龍 Juno Mak, 陳哲廬 Jerald Chan",
C1804,停半分鐘聽一闋歌,2018,許廷鏗 Alfred Hui,"Cousin Fung, 黃兆銘 Nick Wong",6號 Hou Cheong Mau,黃兆銘 Nick Wong,"于逸堯 Yat Yiu Yu, 周錫漢 Randy Chow",
C1805,百年樹木,2018,張敬軒 Hins Cheung,伍卓賢 Cheuk Yin Ng,林若寧 Riley Lam,Mac Chew,"張敬軒 Hins Cheung, 廖志華 Chi Wah Liu",
C1901,我們與愛的距離,2019,許廷鏗 Alfred Hui,"Cousin Fung, 黃兆銘 Nick Wong",林夕 Lin Xi,"周錫漢 Randy Chow, 黃兆銘 Nick Wong","周錫漢 Randy Chow, 于逸堯 Yat Yiu Yu",
C1902,最後的信仰,2019,林二汶 Eman Lam,藍奕邦 Pong Nan,林夕 Lin Xi,陳哲廬 Jerald Chan,"于逸堯 Yat Yiu Yu, 林二汶 Eman Lam",
C1903,我們都是這樣長大的,2019,鄭秀文 Sammi Cheng,徐沛昕 Jessica Tsui,詩詞 Sze Man Chan,"褚鎮東 Anthony Chue, 徐沛昕 Jessica Tsui",蔡德才 Jason Choi,
C1904,2084,2019,Dear Jane,Howie,林寶 Bo Lam,Dear Jane,"Howie, 關禮琛 Sum Kwan, Tim",
C1905,讓愛高飛,2019,周柏豪 Pakho Chau,張家誠 Alan Cheung,張美賢 Sandy Cheung,"周錫漢 Randy Chow, 黃兆銘 Nick Wong","何哲圖 Herman Ho, 周錫漢 Randy Chow",
C2001,呼吸有害,2020,莫文蔚 Karen Mok,鄧智偉 Chi Wai Tang,羅健成 Jiancheng Luo,鄧鼓 Gu Deng,"鄧智偉 Chi Wai Tang, 莊冬昕 Benedict Chong",
C2002,感情這回事,2020,陳柏宇 Jason Chan,佳旺 Keon Chia,陳詠謙 Abrahim Chan,"佳旺 Keon Chia, Edward Chan, Ariel Lai",Edward Chan,
C2003,劫後餘生,2020,周柏豪 Pakho Chau,徐繼宗 Jone Chui,陳詠謙 Abrahim Chan,"周錫漢 Randy Chow, 黃兆銘 Nick Wong",周錫漢 Randy Chow,
C2004,無力感,2020,許廷鏗 Alfred Hui,陳考威 Gareth Chan,T-rexx,"陳考威 Gareth Chan, T-Ma",陳考威 Gareth Chan,
C2005,銀河修理員,2020,Dear Jane,Howie,黃偉文 Wyman Wong,"Dear Jane, 黃兆銘 Nick Wong","Howie, Tim",
